index,Sentence,City
113," The population of Fayetteville is 204,000 and the city is the sixth largest in North Carolina. Fayetteville was founded in 1783 and is the home of Fort Bragg, the largest U.S. Army installation outside of Washington D.",FAYETTEVILLE
114," It is a popular tourist destination, especially in the summer, because of its beaches and its close proximity to other coastal towns. Fletcher is also home to the Wright Brothers National Memorial, which commemorates the first successful powered flight in history.

The memorial is open every day of the year from 9am to 5pm. Admission is free, and there is a gift shop and a small museum on the premises.",FLETCHER
115," The town was founded in 1852 by Col. James B. Gordon and his wife, Sallie. Forest city is home to just over 8,000 residents and is the county seat of Rutherford County.",FOREST CITY
116," The town is home to approximately 4,000 residents and is located in the center of the state, approximately 60 miles east of Raleigh and 60 miles west of Charlotte. The town is bisected by U.S. Highway 64, which is also known as the “Golden Belt Highway.",FOUR OAKS
117," It is a town that is rich in history and culture. The people of Franklin are friendly and welcoming, and the town is a great place to live, work, and raise a family.

Franklin is located about an hour north of Asheville, NC and an hour south of Boone, NC. The town is surrounded by the Blue Ridge Mountains, and the scenery is beautiful.",FRANKLIN
118," The town was founded in 1792 and is the oldest town in Franklin County. The town is located on the banks of the Haw River and is home to the Franklinton Cotton Mill, which was built in 1895 and is the oldest cotton mill in the state. The town is also home to the Franklinton Historic District, which was listed on the National Register of Historic Places in 1979.

Franklinton is a charming small town with a rich history.",FRANKLINTON
119," You can also find helpful tips on things to do in the area, and ways to improve your life. The blog section is updated regularly, so be sure to check back often for the latest information..",FREMONT
120," The town is home to about 2,000 people and is a popular tourist destination. The town is best known for its trout fishing, and is a popular destination for anglers from all over the country.

The town is also home to a number of small businesses, including a few restaurants, a couple of convenience stores, and a few gift shops. The town also has a few small manufacturing businesses, including a couple of small breweries.",FRISCO
121," It is a suburb of the larger city of Raleigh, which is the capital of North Carolina. Fuquay varina is known for its small-town charm, and its close proximity to Raleigh.

The town is located in a rural area, and is surrounded by farmland. It is a popular spot for people who want to live in a small town, but still have access to the amenities of a larger city.",FUQUAY VARINA
122," It is located in southern Guilford County, east of Greensboro and west of High Point. As of the 2010 census, the population was 5,721.

Garland was founded in 1881 when the railroad was extended to that point. The community was named for U.",GARLAND
123," The blogosphere is a great way to share your work with a wider audience, connect with other bloggers, and learn new techniques.

If you’re new to blogging, or if you’re looking to improve your blog, check out some of these resources:

1. WordPress.com – WordPress is one of the most popular blogging platforms, and it’s free to use.",GARNER
124," The region is known for its rolling hills, horse farms and textile mills. Gastonia was once a thriving textile town, but the industry has since declined. Today, Gastonia is a bedroom community for Charlotte, NC.

Gastonia is located about 25 miles west of Charlotte.",GASTONIA
125," It is located about an hour north of the state capital, Raleigh, and is the county seat of Gates County. The town was founded in 1779 and was named for General Horatio Gates, who led the American forces at the Battle of Saratoga during the Revolutionary War.

Today, Gatesville is a charming small town with a population of just over 2,000 people. The town is home to a variety of businesses and industries, including agriculture, manufacturing, and tourism.",GATESVILLE
126," The town was founded in 1881 and is named for General William Gates who fought in the Revolutionary War. The town is home to about 2,000 people and is surrounded by a number of smaller towns and villages.

Gates is a charming town with a rich history. The town is home to a number of small businesses, and the people are friendly and welcoming.",GATES
127," The town is home to a number of high-tech companies, including IBM, GlaxoSmithKline, and RTI International. The town was also once home to the Liggett & Myers tobacco company, which was founded in 1873.

Gerton, NC is located in the Research Triangle Park region of North Carolina. The town is home to a number of high-tech companies, including IBM, GlaxoSmithKline, and RTI International.",GERTON
128," It was founded in 1849 by James Gibson, and is named for him. The town is located in Guilford County, and is part of the Greensboro-Winston-Salem-High Point metropolitan area.

The population of Gibsonville was 2,636 at the 2010 census. It is a part of the Greensboro-Winston-Salem-High Point metropolitan area.",GIBSONVILLE
129," The town is located in a rural area and is surrounded by farmland. The town is a popular spot for tourists who are looking to get away from the city and enjoy the countryside. There are a few small businesses in the town, but most of the people in Gold Hill work in agriculture or tourism.

The town is located near the Blue Ridge Parkway, which is a popular destination for tourists.",GOLD HILL
130," It is located about midway between Raleigh and the coast, and is the county seat of Wayne County. The population of Goldsboro is about 30,000.

The town was founded in 1779, and was named for General Nathanael Greene, who fought in the Revolutionary War. Goldsboro was a stop on the Wilmington and Weldon Railroad, which was built in 1836.",GOLDSBORO
131," The town is best known for its annual Goldston Daze celebration, which is held the first Saturday in October. The celebration features a parade, a car show, a beauty pageant, a talent show, and a variety of food and craft vendors.

Goldston is also home to the Goldston General Store, which was founded in 1885. The store is the longest-running business in Chatham County and is listed on the National Register of Historic Places.",GOLDSTON
132," It is a charming town with a population of just over 10,000 people. The town is known for its Southern hospitality, and its residents are friendly and welcoming. The town is also known for its excellent schools, and its residents are highly educated. Graham is a great place to raise a family, and it is a wonderful place to retire.",GRAHAM
133," It is the third-largest city in the state, behind Charlotte and Raleigh. As of the 2010 census, the city population was 269,666. Greensboro is home to a number of colleges and universities including UNC Greensboro, North Carolina A&T State University, and Greensboro College. The city is also home to a number of major corporations including Volvo Trucks North America, Honda Aircraft Company, and Syngenta.",GREENSBORO
134," The city is the county seat and the most populous city in Pitt County. As of the 2010 census, the city had a population of 58,242. Greenville is the principal city of the Greenville-New Bern-Washington Metropolitan Statistical Area, which had an estimated population of 462,202 in 2013. The metropolitan statistical area is made up of Pitt, Craven, and Beaufort counties.",GREENVILLE
135," The town is situated in a rural area, and is home to a population of just over 1,000 people. The town is located in close proximity to the city of Greenville, which is the largest city in the state of North Carolina.

Grifton is a small town that is located in the rural northeastern part of the state of North Carolina. The town is situated in close proximity to the city of Greenville, which is the largest city in the state.",GRIFTON
136," It is located about 25 miles west of Charlotte and is part of the Charlotte metropolitan area. The population of Grover was 1,362 as of the 2010 census.

The town was incorporated in 1911 and was named for Grover Cleveland, the 22nd and 24th president of the United States. The town was originally a farming community, but it has become a bedroom community for Charlotte in recent years.",GROVER
137," The town is known for its friendly people, small-town charm, and abundance of outdoor activities. Halifax is the perfect place to live, work, and raise a family.

The Halifax community is rich in history and culture. The town was founded in 1758 and is the oldest town in North Carolina.",HALIFAX
138," The town was founded in the late 1700s, and has a rich history including a period during the Civil War when it was twice occupied by Union troops.

Hallsboro is a great place to live if you're looking for a small town atmosphere with easy access to the beach. The town is home to a few small businesses, a post office, and a volunteer fire department. There is also a community center that hosts events throughout the year.",HALLSBORO
139," It is located about 30 miles south of Charlotte and has a population of about 6,500 people. The town was founded in 1810 and is named after Alexander Hamilton, one of the Founding Fathers of the United States.

Hamilton is a historic town with a lot of character. It is home to the oldest courthouse in North Carolina, which was built in 1822.",HAMILTON
140," The town was founded in 1881 by John C. Hamlet and is home to just over 1,000 residents. Hamlet is a charming town with a rich history and a vibrant community.

The town is located in Richmond County and is the county seat.",HAMLET
141," The town is best known for its rolling hills, horse farms, and equestrian centers. Hampstead is also home to the University of Mount Olive, a private Christian university.

The University of Mount Olive is a great school and a valuable asset to the town of Hampstead. The school offers a wide range of degree programs and is known for its quality Christian education.",HAMPSTEAD
142," The town is home to a vibrant arts community, with a strong focus on the traditional arts. The town is also home to a variety of businesses, including a local brewery, a winery, and a variety of small businesses.

The town is also home to a variety of outdoor activities, including hiking, fishing, and camping. The town is also home to a variety of events, including a Bluegrass festival, a Jazz festival, and a variety of other events.",HARMONY
143," The town is located in the center of the state, and is surrounded by the cities of Winston-Salem, Greensboro, and Charlotte. The town is home to approximately 20,000 residents, and is the county seat of Cabarrus County.

The town is a center of commerce and industry, and is home to a number of major corporations, including Harris Teeter, Lowe's, Family Dollar, and Bank of America. The town is also home to a number of smaller businesses, and is a center of agriculture and manufacturing.",HARRISBURG
144," The town is located in Craven County and is the county seat. The population of the town is 7,047 people. The town is known for its small-town charm and its location on the Neuse River.

The town was originally known as Newbern and was renamed in 1868 in honor of Sir Henry Havelock, a British general who had served in the Crimea and India.",HAVELOCK
145," The town is situated on the banks of the Haw River and is known for its natural beauty and vibrant community life. The Haw River is a popular destination for fishing, kayaking, and canoeing, and the town’s many parks and green spaces provide plenty of opportunities for outdoor recreation. Haw River is also home to a variety of businesses and cultural attractions, including the Haw River Ballroom, a popular music venue.

The town of Haw River is a great place to live, work, and play.",HAW RIVER
146," It's an unincorporated community, so there's no mayor, no police department, no fire department, no town hall. The only businesses are a grocery store, a post office, and a couple of restaurants. The only public services are a volunteer fire department and a volunteer ambulance service.

The town is in Clay County, which is one of the poorest counties in the state.",HAYESVILLE
147," It is a beautiful, historic community that is rich in tradition and culture. The people of Hays are friendly and welcoming, and the town has a small-town feel that is hard to find in today's world.

Hays is also home to the Hays-Lanier Library, which is a treasure trove of information and resources. The library is well-equipped with computers and internet access, and it offers a wide variety of programming for people of all ages.",HAYS
148," It is a charming place with a population of just over 20,000 residents. The town is known for its friendly people, small-town atmosphere, and its proximity to the Great Smoky Mountains.

Henderson is a great place to live, work, and raise a family. The town has a low cost of living, and its residents are friendly and welcoming.",HENDERSON
149," The town is also home to a variety of businesses, including several small businesses and startups. Hendersonville is a great place for small businesses and startups to get their start, thanks to the town's low cost of living and its strong sense of community.

Hendersonville is also home to a variety of businesses, including several small businesses and startups. Hendersonville is a great place for small businesses and startups to get their start, thanks to the town's low cost of living and its strong sense of community.",HENDERSONVILLE
150," The town is located in Hertford County, which is the smallest county in North Carolina by population. The town was founded in 1883 and named after the Earl of Hertford. The town has a population of just over 2,000 people and is a popular tourist destination.

The town is located in the Albemarle Sound and is home to the Albemarle Plantation, which is a popular tourist destination.",HERTFORD
151," The city is known for its hickory nut trees, which are a major cash crop in the area. Hickory is also home to a number of furniture factories, which produce high-quality furniture.

The city of Hickory is a great place to live. It is a small city with a population of just over 40,000 people.",HICKORY
152," It's a charming little place, with a population of just over 1,000 people. It's also home to some of the most beautiful and rare gemstones in the world.

Hiddenite, NC is the only place in the world where you can find hiddenite gemstones. These unique and beautiful gemstones are a deep green color, with a faint hint of gold.",HIDDENITE
153," The Piedmont is a transitional region between the Appalachian Mountains and the coastal plain. The region is known for its rolling hills, Piedmont is French for ""foot of the mountain."" The area was once a major center of textile production. Today, the region is known for its agriculture and viticulture.",HIGH POINT
154," The area is known for its natural beauty, and for its many small businesses and artisans. The town is also home to the Highland Games, a sporting event that attracts participants and spectators from all over the world.

The Highland Games are a festival of Scottish culture that take place every year in Highlands, NC. The games feature traditional Scottish sports and competitions, as well as music and food.",HIGHLANDS
155," It is located in the center of the Research Triangle, which is composed of the cities of Raleigh, Durham, and Chapel Hill. The Research Triangle is so named because of the large number of universities and research institutions located there, including Duke University, the University of North Carolina at Chapel Hill, and North Carolina State University.

Hillsborough is a great place to live if you are a fan of the outdoors. There are plenty of parks and green spaces, and the Eno River passes through the town.",HILLSBOROUGH
156," It's a great place to live if you're looking for a quiet, rural lifestyle, but it can be a little tough to find a good job. That's why I started my own business, Hobgood Heating and Air Conditioning.

I'm a licensed HVAC technician, and I offer a wide range of services, from air conditioning installation and repair to heating system installation and repair. I also do duct cleaning and insulation installation.",HOBGOOD
157," The town is known for its natural springs, which were once believed to have healing properties. The town is also home to a variety of businesses, including a variety of small businesses, restaurants, and art galleries. Holly Springs is a great place to live, work, and raise a family.

The town of Holly Springs is located in the heart of the North Carolina Piedmont.",HOLLY SPRINGS
158," The community is located in the Piedmont region of the state, and is situated in the eastern part of the county. Hookerton is home to around 350 residents, and is located approximately 60 miles east of the city of Raleigh.

Hookerton was founded in the early 1800s, and was named for local businessman and politician James Hooker. The community grew steadily in the early 1900s, and was home to a number of thriving businesses, including a cotton gin, a saw mill, and a grist mill.",HOOKERTON
159," The town is known for its textile mills and for being the birthplace of General James Johnston Pettigrew. The town is also known for its annual Hope Mills Fall Festival. The festival is a family event that celebrates the fall season. The festival features a parade, a car show, a beauty pageant, a talent show, and a variety of food vendors.",HOPE MILLS
160," The area is well-known for its natural hot springs, which flow from the ground at a temperature of over 100 degrees Fahrenheit. The town is also home to the world's largest natural mineral deposit, the Buckwheat Grotto.

The Buckwheat Grotto is a geological and archaeological site located in Hot Springs, North Carolina. The site was designated as a National Natural Landmark in 1973.",HOT SPRINGS
161," As of the 2010 census, the population was 861. The town was incorporated in 1875.

The town was named for the Hudson family, who were early settlers in the area. The Hudsons operated a grist mill on the banks of the Watauga River.",HUDSON
162," The population was 46,889 at the 2010 census. It is located about 15 miles (24 km) north of Charlotte.

The Huntersville area was first settled by European Americans in the late 18th century. In the early 19th century, the area was known as ""Huntington"".",HUNTERSVILLE
163," The town was founded in 1849 and is named for the mill race that powered the early grist and saw mills. The town is located in the center of Orange, Alamance, and Chatham counties and is the county seat of Alamance County. The town is home to approximately 1,600 residents and is located approximately 40 miles northwest of Raleigh, the state capital.

Hurdle mills is located in the center of the North Carolina Piedmont, which is a region that is known for its rolling hills and Piedmont Plateau.",HURDLE MILLS
164," The town is known for its natural beauty, which includes the Appalachian Mountains and the Blue Ridge Parkway. The town is also known for its small-town charm and friendly atmosphere.

Indian trail is the perfect place to live if you want to be close to nature, but still be close to a big city. The town is located about 30 minutes from Charlotte, which means that you have access to all of the amenities of a big city, but you can also escape to the peace and quiet of the countryside.",INDIAN TRAIL
165," The town is home to approximately 70,000 residents and is the county seat. Jacksonville is ideally located just minutes from the world’s largest Marine Corps Base, Camp Lejeune. The town is also located within a few hours drive of some of the most beautiful beaches in the country.

The town of Jacksonville offers residents and visitors a small town atmosphere with all the amenities of a larger city.",JACKSONVILLE
166," It is located in the northeastern part of the state, about an hour and a half from Raleigh. The town was founded in 1607, making it the first permanent English settlement in North America. The town is home to the Jamestown Settlement, a living history museum that tells the story of the first English settlers in America.

Jamestown is a great place to live if you're looking for a small town with a historic downtown.",JAMESTOWN
167," From local events and happenings to community news and updates, you'll find it all here.

So be sure to check back often, and if there's something you'd like to see us cover, let us know!.",JAMESVILLE
168," This is the place to find out what's happening in our town. Here you'll find information on local events, businesses, and community news. We'll also be posting tips on living in Jefferson, NC and enjoying all that our town has to offer. Thanks for visiting!.",JEFFERSON
169," The town is located in the west central part of the state and has a population of just over 8,000 people. It is a great place to raise a family with a low cost of living and great schools. The town is also home to two colleges, a hospital, and a variety of businesses.

West jefferson is located about an hour west of Charlotte, the largest city in North Carolina.",WEST JEFFERSON
170," It is the kind of place where everyone knows your name and the local store is the social hub of the community. It is also the kind of place where you can still find a good old-fashioned barber shop.

In the heart of Jonesville is a small shop called The Barber Shop. The Barber Shop has been in business for over 50 years, and it is the only barber shop in town.",JONESVILLE
171," It was founded in 1905 when the Cannon Mills Corporation built a large cotton mill there. The town grew rapidly and by 1915 had a population of 10,000. The mill closed in the 1980s, but the town has continued to grow. The population was 26,000 in 2010.",KANNAPOLIS
172," The town was founded in 1747 and is the county seat. Kenansville is located about 60 miles southeast of Raleigh, NC.

The Kenansville, NC area is a great place to live, work, and raise a family. The town is located close to several larger cities, including Raleigh, Wilmington, and Fayetteville, which offer a wide variety of cultural and recreational activities.",KENANSVILLE
173," The town is home to 4,500 residents and is known for its small-town charm and friendly atmosphere. Kenly is also a major transportation hub, with a busy rail depot and interstate highway access. The town's economy is based largely on agriculture, with tobacco and poultry being the primary crops. Kenly also has a number of small businesses, and the town's residents enjoy a high quality of life.",KENLY
174," The population was 23,523 at the 2010 census. It is part of the Winston-Salem Metropolitan Statistical Area.

Kernersville is located in the Piedmont Triad region of North Carolina. It is situated in the center of Forsyth County, and is bordered by the towns of Winston-Salem to the east, Walkertown to the west, and Rural Hall to the north.",KERNERSVILLE
175," The town is located in Dare County, NC and is about 5 miles from the Atlantic Ocean. It's also only about 10 miles from the Wright Brothers National Memorial, so you can get your history fix in, too.

Kill Devil Hills is a great place to live if you want to be close to the beach, but don't want to be surrounded by tourists. The town is located in Dare County, NC and is only about 5 miles from the Atlantic Ocean.",KILL DEVIL HILLS
176," The town is located about 25 miles west of Charlotte, NC. The town was founded in 1852 and named after the Kings Mountain National Military Park which is located nearby. The park is the site of the Battle of Kings Mountain which was fought in 1780 during the American Revolutionary War. The battle was fought between American Patriot forces and British Loyalist forces.",KINGS MOUNTAIN
177," The town is a suburb of Greensboro and is part of Guilford County. The population of Rockingham was estimated to be just over 15,000 in 2016.

The town of Rockingham was founded in 1849 and was originally known as Rockingham Depot. The town was renamed in honor of Charles Watson-Wentworth, the Marquess of Rockingham.",ROCKINGHAM
178," The town is home to just over 1,000 people and is the county seat of Alleghany County. The town was settled in 1818 and named after Dr. Martin Luther King, Jr. The town is best known for its natural beauty and its close proximity to some of the best trout fishing in the country.",KING
179," It was founded in the early 1800s and was once a thriving center of commerce and industry. However, like many small towns in the rural south, Kinston has suffered from the decline of the textile and tobacco industries and the exodus of young people to the larger cities.

Despite these challenges, Kinston is a vibrant and welcoming community with a rich history and a bright future. The people of Kinston are proud of their town and are working hard to revitalize it.",KINSTON
180," It is a town that is known for its small-town charm, its friendly people, and its close-knit community. Kittrell is a town that is proud of its history and its traditions, and its residents are fiercely loyal to their community. Kittrell is also a town that is growing rapidly, thanks to its close proximity to the Research Triangle Park and to Chapel Hill and Durham.

Kittrell is a great place to live, work, and raise a family.",KITTRELL
181," The Wright brothers made their first successful flight there in 1903. The Wright brothers were not the first to build and fly an airplane, but they were the first to make a powered flight. They accomplished this by solving the problem of getting an airplane off the ground and keeping it in the air.

The Wright brothers were born in Dayton, Ohio, but they moved to Kitty Hawk, North Carolina, in 1900.",KITTY HAWK
182," The population was 11,623 at the 2010 census. Knightdale is a suburb of Raleigh, North Carolina.

The Knightdale Chamber of Commerce is a voluntary, not-for-profit organization of business and professional people dedicated to the civic and economic development of Knightdale. The Chamber is the voice of business in Knightdale and is committed to providing leadership and support to its members.",KNIGHTDALE
183," It's home to a few thousand people and a handful of businesses, including a lumberyard, a feed store, and a few small restaurants.

Like many small towns in the rural south, La grange is in the midst of a slow decline. The population is aging, the young people are moving away, and the businesses are closing. But La grange is still a great place to live.",LA GRANGE
184," The lake is also known for its population of largemouth bass. Largemouth bass are a popular game fish, and anglers come from all over to fish for them. The lake is also a great place to swim and boat.

The largemouth bass is a popular game fish because it is a challenging fish to catch.",LAKE TOXAWAY
185," It had a population of 2,191 people in 2010. The landis community was first settled in the late 1700s. The community was originally known as ""Mount Pleasant."" The name was changed to ""Landis"" in honor of Joseph Landis, who donated the land for the first school in the community.",LANDIS
186," Our team of experts are dedicated to providing the best possible service to our clients, and we are constantly expanding our knowledge and skills to stay ahead of the curve.

We believe in providing our clients with the best possible service, and we are constantly expanding our knowledge and skills to stay ahead of the curve. Our team of experts is dedicated to providing the highest quality service possible, and we are always looking for new and innovative ways to improve our offerings.

If you are looking for a team of professionals that can help you achieve your goals, then Lasker is the perfect place for you.",LASKER
187," Laurel hill is a small town in the eastern part of the state, and the blog is a way for the town to keep in touch with its residents. The blog is updated regularly, and includes news and events from the town, as well as photos and videos. The blog is a great way for residents of Laurel hill to stay connected, and it also provides a great source of information for visitors to the town..",LAUREL HILL
188," The Laurinburg Exchange is a local newspaper that serves the town and the surrounding area. The paper is published twice a week, on Wednesday and Friday.

The Laurinburg Exchange is a local newspaper that serves the town and the surrounding area. The paper is published twice a week, on Wednesday and Friday.",LAURINBURG
189," The Sandhills are a group of low, rolling hills that are covered in a thick layer of sand deposited by the Cape Fear River and its tributaries. The area is known for its golf courses, hunting, fishing, and horseback riding.

Leland is located about 45 minutes from the state capital of Raleigh and about 2 hours from the Atlantic coast. The town is home to a number of small businesses, including a few restaurants, a grocery store, a hardware store, and a few small shops.",LELAND
190," The town is known for its natural springs, which produce a high-quality, mineral-rich water. The water is bottled and sold as Lemon Springs water.

The town's water has been bottled and sold since the early 1900s. The water is known for its therapeutic properties, and it is often used to treat medical conditions such as arthritis and gout.",LEMON SPRINGS
191," The population was 18,838 at the 2010 census. It is the county seat of Caldwell County. Lenoir is located in the foothills of the Blue Ridge Mountains.

Lenoir is located at (35.",LENOIR
192," The town is home to a variety of small businesses, many of which are family-owned and operated. Lewiston is also home to a variety of artists, including painters, potters, and woodworkers.

The town is also home to a variety of festivals, including the Lewiston Arts Festival, the Blue Ridge Folklife Festival, and the Blues and Brews Festival. Lewiston is also home to a variety of small businesses, many of which are family-owned and operated.",LEWISTON
193," The town is known for its annual Apple Festival, which celebrates the region's apple-growing heritage. The festival features a parade, a carnival, and a variety of food and craft vendors. Lewisville is also home to a number of small businesses, including a few antique shops and a winery. The town is located about an hour's drive from both Winston-Salem and Greensboro.",LEWISVILLE
194," Here you can find out what's happening at the local businesses, learn about upcoming events, and find out what's new in Lexington. We hope you enjoy our blog and find it helpful!.",LEXINGTON
195," It is the county seat of Randolph County, and the home of the Liberty University campus. The town was founded in 1773 and is the oldest town in North Carolina west of the Blue Ridge Mountains.

Liberty is a charming small town, and the Liberty University campus is a beautiful and historic one. The town has a lot of history, and the Liberty University campus has a lot of character.",LIBERTY
196," The area was first settled in the early 1800s, and today, the town is home to around 1,600 residents. While Lillington may be small, it is rich in history and culture. The town is located just a few miles from Fort Bragg, and many residents are active in the military community. Lillington is also home to the Harnett County Arts Council, which sponsors a variety of arts and cultural events throughout the year.",LILLINGTON
197," The town is home to about 1,500 people and is the county seat of Gaston County.

The history of Littleton, NC can be traced back to the early 1800s when the area was first settled. The town was officially incorporated in 1859.

Today, Littleton is a thriving small town with a rich history and a bright future.",LITTLETON
198," It is located in Randolph County, which is part of the Greensboro-High Point-Winston-Salem Metropolitan Statistical Area. The population of Locust was estimated to be 2,362 in 2010.

The town was founded in 1871 and was originally known as ""Staley's Crossroads"". The name was changed to ""Locust"" in 1877.",LOCUST
199," The town is home to the oldest college in the state, Louisburg College, and is surrounded by rolling hills, farmland, and forests. The town is also home to a number of small businesses, including a few restaurants, a grocery store, a hardware store, and a few other shops.

Louisburg is a great place to live, work, and raise a family. The town has a small-town feel, with a friendly, close-knit community, and it's a great place to get away from the hustle and bustle of the big city.",LOUISBURG
200," The lumber industry has been in decline for years, and the town has seen its population drop as a result. The town's only hope is to attract a new industry to town.

The town's leaders have been working hard to attract a new industry to town, but they haven't had much luck. The town's only hope is to attract a new industry to town.",LUMBER BRIDGE
201," The area is known for its rolling hills, hardwood forests, and fertile soil. The climate is temperate, with average temperatures ranging from 55-75 degrees Fahrenheit.

Lumberton is home to a variety of businesses, including lumber and furniture manufacturers, food processors, and agriculture and transportation companies. The town is also a regional center for healthcare and education.",LUMBERTON
202," Whether it’s a review of a new restaurant, a report on a city council meeting, or just a day-in-the-life post, Madison bloggers offer their readers a look at their city that they can’t find anywhere else.

Some of the best Madison, NC bloggers include:

1. Chris at Chris Around Town: Chris is a local foodie and general all-around good guy. His blog is a great resource for information on what’s happening in Madison, from restaurant openings to local events.",MADISON
203," The town is home to around 2,000 residents and is known for its natural beauty, small-town charm, and friendly people.

Magnolia is located about an hour and a half from both Raleigh and Charlotte, making it an ideal location for those who want to live in a small town but still have access to larger cities. The town is also home to a number of businesses and industries, including a major paper mill and a number of smaller businesses.

Magnolia is a great place to live, work, and raise a family.",MAGNOLIA
204," The town is home to about 2,000 people and is located about an hour north of Charlotte. The town is best known for its annual Apple Festival, which is held each fall.

Maiden is also home to one of the most successful small businesses in the country. That business is the Maiden Cheese Shop, which is owned and operated by sisters Lisa and Tracey White.",MAIDEN
205," The town is full of history and is a popular tourist destination. The town was founded in 1584 by Sir Walter Raleigh and is the oldest town in North Carolina. The town was also the site of the first English settlement in the New World. The town is home to the Rialto Theater, the oldest theater in North Carolina.",MANTEO
206," It's a pretty typical small town, with a Main Street that's home to a variety of small businesses, a couple of churches, and a couple of bars. Marion is also home to the North Carolina Correctional Institution for Women, which is the only state prison for women in North Carolina.

The prison is a big part of the town's economy. It employs around 350 people, most of whom are local residents.",MARION
207," The town was originally known as Cross Roads because it was the intersection of two stagecoach routes. The town was renamed Marshville in 1876 after William Marsh, who owned the land on which the town was built.

Marshville is located in the Piedmont region of North Carolina. The town is located about 25 miles east of Charlotte and about 25 miles west of Monroe.",MARSHVILLE
208," The town is home to some of the best antique stores in the area, and the downtown area is full of small businesses and restaurants. Matthews is a great place to live, work, and play.

The town was founded in 1873, and it has a rich history. The Matthews Museum is a great place to learn more about the town's history.",MATTHEWS
209," The town is best known for its annual Maxton Mayhaw Festival, which celebrates the local Mayhaw fruit. The festival features a parade, music, food, and Mayhaw wine and jelly tastings.

Maxton is also home to the world's largest woodpecker, the Pileated Woodpecker. This bird is a common sight in the town's forests and can often be seen pecking away at dead trees.",MAXTON
210," The town was incorporated in 1905 and was named for the maiden name of the wife of the town's founder, John C. May. The town's population was 1,548 as of the 2010 census.

Mayodan is located at 36°19′25″N 80°14′48″W﻿ / ﻿36.",MAYODAN
211," It is home to the world's largest light display, which is located on the grounds of the Duke Energy Center for the Performing Arts. The light display features more than 3.5 million lights and covers more than 18 acres.

The light display is a Christmas tradition for many families in the area.",MCADENVILLE
212," The town is situated on the banks of the Haw River, which provides opportunities for fishing, canoeing and kayaking. The town is also home to the Mebane Arts & Culture Center, which hosts theater and music performances, and the Alamance County Museum, which tells the story of the area's history.

Mebane is a growing town, with a population of more than 10,000 people. The town is home to a number of businesses, including manufacturing, retail and service businesses.",MEBANE
213," The town is home to several small businesses, a few farms, and a couple of golf courses.

The town is also home to the Micro Museum, which is dedicated to the history and culture of the region. The museum features exhibits on the history of the town, the local agriculture, and the traditional crafts of the region.

The museum also features a collection of vintage cars and motorcycles, and a replica of a typical Sandhills farmhouse.",MICRO
214," The town is known for its high quality of life, with a strong community spirit, low crime rate, and excellent schools.

Middlesex is located about an hour north of Charlotte, and is convenient to both I-85 and I-40. The town is home to a variety of businesses and industries, including manufacturing, agriculture, and retail.

Middlesex is also home to a variety of arts and cultural organizations, including the Piedmont Arts Council, the Carolina Actors Studio Theatre, and the Piedmont Symphony Orchestra.",MIDDLESEX
215, The town is centered around the Miller's Creek Baptist Church which was founded in 1802. The current building was built in 1875. The church is still an active part of the community and holds services every Sunday morning. The church also has a cemetery which is the final resting place for many of the town's early settlers.,MILLERS CREEK
216," The town is located in the heart of the Blue Ridge Mountains, and is known for its natural beauty and outdoor activities. The town is also home to a variety of businesses, including a few small manufacturing companies.

Mills River is a great place to live and work. The town has a small-town feel, but it is also close to Asheville, which has all the amenities of a larger city.",MILLS RIVER
217," It's known for its annual Mockfest, a music festival that celebrates the town's namesake. Mockfest is a three-day event that features local and regional bands, as well as a variety of food and craft vendors.

Mocksville is also home to the Davie County Arts Council, which sponsors a number of arts and cultural events throughout the year. These events include the Davie County Fair, the Davie County Jazz Festival, and the Davie County Christmas Parade.",MOCKSVILLE
218," It is a charming town that is rich in history and culture. Moncure is located about 30 minutes from both Pittsboro and Sanford, and about an hour from both Raleigh and Durham.

The town was founded in 1881, and was originally known as Moncure Station. It was renamed in honor of Charles Moncure, who was a prominent citizen and state legislator.",MONCURE
219, It was founded in 1792 and is the home of the first U.S. Post Office. The downtown area is full of historic buildings and homes.,MONROE
220," Here you can learn more about our local businesses, find out about upcoming events, and read about the latest happenings in Mooresboro. We hope you enjoy our blog and find it helpful!.",MOORESBORO
221,"The population was 32,711 at the 2010 census. It is the county seat of Iredell County.

The town has been growing rapidly and is now considered a suburb of Charlotte. The population has more than doubled since 2000.",MOORESVILLE
222," The town is situated in the foothills of the Blue Ridge Mountains and is known for its natural beauty and tranquil atmosphere. Moravian falls is a popular place to rest and reflect, and is often used as a getaway destination.

The town was first settled in the early 1800s and was originally known as Moravian Camp. The name was changed to Moravian Falls in 1892.",MORAVIAN FALLS
223," The town is home to a variety of businesses, including a number of small shops and restaurants. Morehead is also home to the Morehead Planetarium and Science Center, which offers a variety of exhibits and programs on astronomy and science. The planetarium is open to the public, and offers a variety of programs for people of all ages. The planetarium also offers a variety of exhibits on astronomy and space science.",MOREHEAD CITY
224," The town is known for its granite quarries and furniture factories. Morganton is also home to the Burke County School District, which is the largest employer in the area. The Burke County School District has six elementary schools, two middle schools, and one high school. The district also operates an early childhood education center and a juvenile detention center.",MORGANTON
